company_id,company,url_about_us,n_values,values,culture_summary,clean_text_length
10,Extia,https://www.extia-group.com/es-es/about-us,6,2500 empleados (Extianeses/as) | 253 M€ de volumen de negocios | Presencia en 8 países | Posición 1 en la clasificación Great Place to Work® | 60 % de los empleados forman parte de programas de formación anual | Fundada en 2007,"Extia promueve una cultura ""people‑first"" basada en el principio ""Primero quién, luego qué"", priorizando el bienestar y desarrollo de sus personas. Fomenta el intra‑emprendimiento, la autonomía, la confianza y el empowerment, potenciando equipos ágiles y colaborativos. Su modelo enfatiza la satisfacción laboral, la formación continua y la responsabilidad social, reflejado en su histórico liderazgo en Great Place to Work y en la gestión de proyectos solidarios.",9079
11,Sopra-Steria,https://www.soprasteria.es/conocenos/nuestra-mision,5,Innovación | Responsabilidad corporativa | Colaboración | Orientación al cliente | Tecnología al servicio de las personas,"Sopra Steria fomenta una cultura centrada en la innovación digital, la responsabilidad sostenible y humana, el trabajo colaborativo y el compromiso de usar la tecnología para generar impactos positivos y tangibles en la sociedad.",2920
12,Accenture,https://www.accenture.com/us-en/about/company-index,3,Innovación | Sostenibilidad | Inclusión y diversidad,"Accenture promueve una cultura basada en la creación de valor 360°, impulsando la innovación constante y la adopción responsable de la IA. Fomenta la sostenibilidad ambiental, social y de gobernanza en sus operaciones y en las transformaciones de sus clientes. Además, prioriza la inclusión y la diversidad, ofreciendo entornos de trabajo transparentes y programas de desarrollo como la Apprenticeship para impulsar la movilidad económica y el crecimiento profesional de sus empleados.",8031
13,Rentokil Initial,https://www.rentokil-initial.com/about-us.aspx,3,Protección de las personas | Mejora de la vida | Preservación del planeta,"Rentokil Initial fomenta una cultura orientada a proteger a las personas de riesgos de plagas y de higiene, a mejorar su salud y bienestar, y a preservar el medio ambiente, apoyada por la innovación, la excelencia operativa y la presencia global de sus equipos locales.",3268
14,Krell Consulting & Training,https://krell-consulting.com/sobre-nosotros/,3,Orientación al cliente | Innovación y flexibilidad tecnológica | Responsabilidad social corporativa,"Krell promueve una cultura colaborativa y orientada al servicio, donde la innovación, la rapidez y la flexibilidad son clave para ofrecer soluciones de talento tecnológico. Fomenta la formación continua, el trabajo en equipo y el compromiso con la comunidad a través de proyectos sociales, manteniendo siempre el foco en generar valor real para sus clientes.",4194
15,SEAT SA,https://www.seat.es/sobre-seat/creatividad-urbana,4,creatividad | rigor | innovación | compromiso,"Raona promueve una cultura híbrida‑first e internacional, basada en la creatividad, el rigor y la innovación constante. Fomenta la colaboración, la agilidad y el compromiso con la transformación digital de sus clientes, combinando expertise técnico con un enfoque cercano al cliente y una mentalidad de aprendizaje continuo.",5835
16,Raona,https://raona.com/quienes-somos/,3,Innovación | Flexibilidad | Desarrollo del talento,"Manpower promueve una cultura centrada en las personas, con enfoque en la innovación y la flexibilidad para ofrecer soluciones de talento a nivel global y local, fomentando el desarrollo profesional continuo y el compromiso con la sostenibilidad y la competitividad de sus clientes.",10727
17,Manpower Trabajo Temporal,https://www.manpower.es/es/quienes-somos,3,"Propósito: ser la empresa de talento más equitativa y especializada del mundo | Presencia: opera en 39 mercados y en España cuenta con 2.000 profesionales de RR.HH. distribuidos en todas las comunidades autónomas | Compromiso: sostenibilidad, diversidad, equidad e inclusión como pilares estratégicos","Randstad fomenta una cultura basada en la gestión por valores, la equidad y la especialización en talento, impulsando el crecimiento tanto de personas como de organizaciones. Prioriza la sostenibilidad, la diversidad e inclusión, y promueve la innovación y el desarrollo profesional continuo.",4086
18,Randstad ES,https://www.randstad.es/nosotros/,3,"Universidad CEU San Pablo | Educación superior privada | Madrid, España","La Universidad CEU San Pablo se rige por un modelo académico de excelencia fundado en el humanismo cristiano, la ética y la responsabilidad social. Busca la formación integral de sus estudiantes, impulsa la investigación de alto nivel e internacionaliza su oferta, fomentando valores como la tolerancia, el respeto, la solidaridad y la búsqueda de la verdad.",13138
19,Fundación Universitaria San Pablo CEU,https://www.uspceu.com/conocenos/modelo-de-universidad,14,Trabajo en equipo | Solidaridad | Respeto y confianza | Honestidad | Comunicación y transparencia | Orientación a resultados | Meritocracia | Calidad y excelencia | Liderazgo con el ejemplo | Valentía | Ambición | Optimismo y entusiasmo | Resiliencia | Determinación implacable,"Babel promueve una cultura colaborativa y meritocrática donde el trabajo en equipo, la solidaridad y la confianza son pilares. La empresa valora la honestidad, la transparencia y la comunicación, enfocándose en resultados, calidad y excelencia. Fomenta la ambición, el optimismo y la valentía para asumir grandes retos, manteniendo resiliencia y una determinación constante para alcanzar la grandeza.",59575
20,Babel,https://babelgroup.com/cultura-babel/,6,People first | Integrity | Collaboration | Diversity & Inclusion | Growth | Professional Excellence,"PageGroup promotes a people‑centric, inclusive culture focused on professional success, continuous growth and collaboration. It values integrity, diversity and the development of talent, encouraging an environment where employees, clients and candidates are respected and empowered to achieve their goals.",4190
21,Michael Page,https://www.page.com/about-us,18,Innovación | Cooperación | Reutilización | Sostenibilidad | Independencia | Transparencia | Trabajo en equipo | Beneficio mutuo | Emprendizaje | Valentía | Autorrealización | Autoexigencia | Orientación a resultados | Eficiencia | Optimismo | Confianza | Diversidad | Integridad,"ZYLK fomenta una cultura basada en la innovación y el software libre, promoviendo la colaboración, la transparencia y la sostenibilidad. Su equipo trabaja de forma ágil y multidisciplinar, valorando el trabajo en equipo, la confianza mutua y el beneficio compartido. La empresa impulsa el aprendizaje continuo, la valentía y la autoexigencia para alcanzar resultados orientados al cliente, manteniendo un enfoque ético, diverso e integral.",6600
22,ZYLK,https://www.zylk.net/es/about-us,8,"30+ años de experiencia en ETT | 12.713 personas colocadas al año | 27.864 contratos al año | 578 clientes al año | Más de 20 delegaciones en toda España (incluidas Islas Baleares y Canarias) | Certificación ISO 9001 (AENOR) | Sectores clave: hostelería, restauración, administración, logística, transporte e industria manufacturera | Valores corporativos: autenticidad, ambición, respeto, adaptabilidad, compromiso y eficiencia","Personal 7 promueve una cultura centrada en la calidad y la innovación, apoyada en la digitalización y la mejora continua. Sus valores – autenticidad, ambición, respeto, adaptabilidad, compromiso y eficiencia – guían una relación de confianza con clientes y empleados. Fomenta la agilidad en la contratación, la cercanía al candidato y al cliente mediante una red nacional de delegaciones, y mantiene un fuerte compromiso social a través del proyecto XAP Constant para la lucha contra el cáncer infantil.",7877
23,Page Personnel ETT,https://personal7.es/nosotros/,6,Innovación tecnológica | Calidad | Responsabilidad social | Compromiso medioambiental | Seguridad de la información | Trabajo en equipo,"Irium fomenta una cultura colaborativa y orientada al cliente, impulsada por más de 750 profesionales que combinan experiencia y pasión por la tecnología. Con 19 años de trayectoria y presencia en más de 15 países, la empresa valora la innovación, la calidad y la mejora continua, al tiempo que promueve la responsabilidad social, la sostenibilidad ambiental y la seguridad de la información.",5750
24,IRIUM - Spain,https://www.irium.es/about,6,"Las personas, lo primero | Innovación | Calidad | Colaboración ágil | Transparencia | Sostenibilidad","Empresa global de más de 700 profesionales de origen diverso, con una cultura plural e inclusiva que prioriza a las personas, fomenta la innovación responsable, la calidad, la colaboración ágil, la transparencia y la sostenibilidad en todos sus proyectos.",1481
25,Plain Concepts,https://www.plainconcepts.com/es/quienes-somos/,5,"BI Group | Founder: Ripu Daman Bhagat | Chairman: Shashank Bhagat | Sectors: Real Estate, Luxury Retail, Hospitality, Media, Education, Commercial | Headquarters: New Delhi, India","The company promotes a legacy of excellence rooted in integrity, quality and continuous innovation. It values diversity, social responsibility and a commitment to superlative service across all its sectors, fostering a forward‑looking, collaborative and ethically driven workplace.",5068
26,BIP Group,https://bipgroup.com/about-us.php,3,Formación especializada en automoción | Consultoría de transformación empresarial | Talent Recruitment y gestión de talento,"Monlau Corporate promueve una cultura orientada a la innovación práctica, el aprendizaje activo (learning by doing) y la transformación digital, fomentando la colaboración con empresas del sector y un enfoque ágil para impulsar el desarrollo profesional y organizacional.",5054
27,"Monlau Centre d'Estudis, S.A.",https://monlaucorporate.com,3,"Tecnalia | Centro de investigación aplicada y desarrollo tecnológico del sur de Europa | Sede central en Derio, Bizkaia, España","Tecnalia impulsa la innovación y la anticipación como valores clave, fomentando la colaboración con empresas e instituciones, promoviendo la transformación digital, la transición energética y la sostenibilidad, y valorando el talento multidisciplinario para generar impacto económico y social.",6237
28,Tecnalia Ofertas De Empleo,https://www.tecnalia.com/quienes-somos,3,Excelencia sin concesiones | Lo extraordinario como norma | Exclusividad auténtica,"SlashMobility es una boutique tecnológica que trata al talento como lujo, persigue la excelencia, crea experiencias extraordinarias y fomenta la exclusividad auténtica. Su cultura se basa en el detalle, la innovación, la confianza y la entrega de resultados memorables, impulsando la transformación tecnológica con una mentalidad de liderazgo y compromiso.",22315
29,SlashMobility,https://slashmobility.com/empresa/,8,Confianza | Excelencia | Compromiso | Emprendimiento | Cercanía | Transparencia | Pasión | Motivación,"RDT fomenta una cultura centrada en las personas, basada en la confianza y la excelencia, con un fuerte compromiso y espíritu emprendedor. La empresa valora la cercanía con clientes y equipos, la transparencia en la comunicación y la pasión por la innovación. Motiva a su talento mediante entornos colaborativos, aprendizaje continuo y oportunidades para transformar ideas en soluciones de ingeniería y tecnología a nivel global.",8657
30,RDT,https://www.rdt.com/es/sobre-rdt?_gl=1*f7qx*_up*MQ..*_ga*NzcxOTk5NjUuMTc2MzU2MTc1Mg..*_ga_4CM4J2W2V2*czE3NjM1NjE3NTEkbzEkZzAkdDE3NjM1NjE3NTEkajYwJGwwJGgw,5,Innovación tecnológica | Precisión del 99.9 % | Privacidad y cumplimiento normativo | Orientación al cliente | Integración de sistemas,"Infinity Neural promueve una cultura de constante innovación y excelencia técnica, centrada en la privacidad y el cumplimiento normativo. Fomenta la colaboración interna y la cercanía con los clientes para entender y optimizar sus procesos, impulsando decisiones informadas y la mejora continua.",11771
31,Infinity Neural,https://infinityneural.com/,5,Cuidado de las personas | Empatía con el cliente | Compromiso con la fiabilidad | Sostenibilidad ambiental | Economía circular,"Primer Impacto promueve una cultura centrada en las personas y en la empatía con sus clientes, garantizando fiabilidad en sus procesos. Está comprometida con la sostenibilidad, implementando logística ecológica, compensación de emisiones y reforestación, y adopta principios de economía circular mediante reutilización y reciclaje. Fomenta la colaboración interna y el desarrollo continuo de su equipo.",2771
32,Primer Impacto,https://primer-impacto.com/nosotros/,5,Innovación | Excelencia | Compromiso | Pasión | Trabajo en equipo,"Sener fomenta una cultura orientada a la innovación y la excelencia, impulsada por la pasión y el compromiso social. Promueve el trabajo en equipo, el desarrollo del talento y la diversidad, con un enfoque sostenible y ético para generar impacto positivo en la sociedad y el planeta.",8414
33,Sener,https://www.group.sener/conocenos/proposito-valores/,3,"BHK Engineering, D.P.C. | 501 Fifth Avenue, Suite 1103, New York, NY 10017 | (212) 447-6345 / info@bhkengineering.com","Empresa de ingeniería consultora que valora la experiencia histórica (más de 80 años) y la continuidad de conocimientos, enfocándose en soluciones integrales de fachada, estructurales y mecánicas. Prioriza la calidad, el mantenimiento de edificios y la colaboración con clientes en proyectos residenciales, comerciales y de culto en la ciudad de Nueva York.",13642
34,BKH Recruitment,https://bhkengineering.com,3,"Propósito: Construir un mundo que funcione mejor | Más de 400 000 profesionales a nivel global | Cuatro líneas de servicio: Auditoría, Consultoría, Fiscal & Legal, Estrategia y Transacciones","EY fomenta una cultura basada en integridad, respeto, inclusión y trabajo en equipo, impulsando la diversidad de perspectivas y la innovación mediante datos, IA y tecnología avanzada. La empresa valora el desarrollo de líderes que aporten soluciones sostenibles y responsables, premiando el impacto positivo y el compromiso con su propósito de generar un mundo mejor para profesionales, clientes y comunidades.",800
35,EY,https://www.ey.com/es_es/about-us,3,"Ingresos 115.6 mil millones de euros (2024) | Empleados ~200,000 (31‑dic‑2024) | Presencia en más de 50 países","Deutsche Telekom promueve una cultura orientada a la digitalización responsable, la sostenibilidad y la inclusión. Fomenta la innovación tecnológica y la transformación digital, al tiempo que impulsa la responsabilidad social, la diversidad y la ética en toda la cadena de valor. La empresa valora la seguridad de datos, la protección del medio ambiente y la creación de un entorno digital seguro y accesible para todos sus empleados, clientes y la sociedad.",17846
36,T-Systems Iberia,https://www.telekom.com/en/company/companyprofile/company-profile-625808,4,People oriented | Specialized | Committed | Trust,"Talent-R es una firma de reclutamiento centrada en las personas, con un enfoque especializado por áreas tecnológicas y un fuerte compromiso con la calidad y la transparencia. Prioriza la conexión entre candidatos y empresas mediante una comunicación honesta, entrenamiento continuo de su equipo y relaciones basadas en la confianza.",14739
37,Talent-R,https://talent-r.com/about-us/,3,Innovación | Personalización | Rapidez,"Prishia fomenta una cultura de innovación constante, centrada en ofrecer soluciones de IA a medida y de implementación rápida, promoviendo la colaboración estrecha con los clientes y un enfoque orientado al resultado y la excelencia tecnológica.",2874
38,Prishia,https://prishia.es,3,"Téciman | 1991 | Consultoría Industrial, Metrología 3D, Outsourcing y Proyectos de Ingeniería","Empresa con más de 35 años de experiencia que fomenta la innovación, la multidisciplinariedad y la colaboración entre sus áreas, ofreciendo soluciones personalizadas y flexibles centradas en las necesidades del cliente.",2330
39,Téciman,https://www.teciman.com/quienes-somos/,3,"Cencora | $290B+ annual revenue | 51,000 employees","Cencora fomenta una cultura centrada en el cliente y los socios, impulsada por un propósito de mejorar la salud de personas y animales. Promueve la colaboración, la innovación sostenible y la responsabilidad social, con énfasis en el acceso global a medicamentos, la sostenibilidad ambiental y el desarrollo de soluciones de salud integrales.",6581
40,Cencora,https://www.cencora.com/about,3,Accesibilidad educativa | Calidad y preparación oficial | Compromiso con el desarrollo local,"Academia itinerante centrada en la comunidad, que lleva enseñanza de inglés de alta calidad a pueblos, fomenta la igualdad de oportunidades y promueve un aprendizaje cercano, práctico y colaborativo.",9472
41,ingles para pueblos,https://inglesparapueblos.com,3,"Acquires and scales European vertical‑market software companies | Portfolio: 22 software companies, 712 employees across 7 countries | International, entrepreneurial culture focused on ambition, growth and collaboration","Everfield fosters an international, entrepreneurial environment where teams of software experts, investors and operators work cross‑border to drive growth. The culture emphasizes ambition, collaboration, and a hands‑on growth mindset, supporting portfolio companies with resources and expertise while encouraging innovation and a shared commitment to expanding Europe's software ecosystem.",2712
42,Everfield,https://everfield.com/who-we-are,3,"27,000 empleados | 19 países | 2.400 millones EUR de ventas en 2024","Inetum fomenta una cultura basada en valores y el ""método Inetum"", que combina propósito, resultados estratégicos y valores. Prioriza el impacto digital, la innovación, la toma de decisiones significativas, la sostenibilidad y el bienestar de sus colaboradores, promoviendo proximidad, flexibilidad y colaboración en todos sus equipos.",18915
43,Inetum Spain,https://www.inetum.com/es/sobre-nosotros,3,Calidad y excelencia operacional | Innovación tecnológica y digital | Compromiso con el cliente y sostenibilidad,"TRIGO promueve una cultura global orientada a la mejora continua, donde la excelencia en calidad se apoya en soluciones digitales avanzadas y la innovación. Fomenta la colaboración entre sus 10 000 profesionales en 28 países, con fuerte enfoque en la satisfacción del cliente, la formación constante y la responsabilidad medioambiental, manteniendo altos estándares de certificación y un ambiente de trabajo basado en la confianza y el compromiso.",11568
44,DXC Technology,https://dxc.com/us/en/about-us,7,Innovación | Diversidad | Curiosidad | Orientación al cliente | Colaboración | Empoderamiento | Transparencia,"Findasense promueve una cultura basada en la innovación constante y la transformación de la relación empresa‑cliente, respaldada por la diversidad y la curiosidad como pilares. Implementa estructuras organizativas holacráticas y TEAL que difuminan jerarquías, fomentan la toma de decisiones compartida y el empoderamiento de sus empleados. La colaboración y la transparencia son esenciales, al tiempo que se mantiene una fuerte orientación al cliente y al mercado.",6278
45,Trigo Quality Ibérica,https://www.trigo-group.com/en/company/about-TRIGO,3,"Soluciones integrales de recursos humanos (360°) | Presencia global y liderazgo en el futuro del trabajo | Compromiso con la colaboración, innovación y buena gobernanza","Adecco Group promueve una cultura centrada en las personas, la colaboración y la innovación, impulsando la transformación digital y el desarrollo de talento para enfrentar los cambios del mundo laboral, con un fuerte enfoque en la inclusión, la responsabilidad y la excelencia de gobernanza.",6244
46,Findasense,https://elreferente.es/directorio/findasense/,3,"Seguros Nogal (Correduría de Seguros) | Intermediación de seguros | Pozuelo de Alarcón, Madrid","Empresa centrada en la confianza del cliente, ofreciendo asesoramiento integral, precios competitivos y ahorro de tiempo, con valores de imparcialidad, transparencia y uso de tecnología avanzada; fomenta el trabajo en equipo y el crecimiento continuo.",5016
47,FeverUp,https://newsroom.feverup.com/en-US/about/,9,Personas | Salud y bienestar | Unicidad | Trabajo en equipo | Compromiso | Pasión | Profesionalismo | Innovación | Cercanía,"Quirónsalud promueve una cultura centrada en el paciente, con énfasis en la calidad, la innovación y la investigación, fomentando el trabajo en equipo, la cercanía y la empatía, y valorando el compromiso y la pasión de sus profesionales para ofrecer una atención personalizada y de excelencia.",7073
48,Adecco,https://www.adeccogroup.com/our-group/about-us,3,"Centro Tecnológico privado especializado en I+D+i de TIC | Más de 300 profesionales y >150 proyectos de I+D+i al año | Modelo abierto y colaborativo con alianzas en IA, Big Data e Industria 4.0","ITU fomenta una cultura de innovación colaborativa, orientada a la solución de retos reales de empresas, con énfasis en la sostenibilidad, la formación continua y la creación de sinergias a través de alianzas estratégicas y participación activa en redes europeas de innovación.",1990
49,Correduría Seguros Nogal,https://www.segurosnogal.es/nosotros/,3,Factory efficiency | City livability | Sustainable transport,"Siemens fosters an innovative, purpose‑driven culture that uses industrial AI to accelerate digital transformation, prioritizes sustainability and social responsibility, and encourages global collaboration to create smarter factories, livable cities, and greener transport solutions.",4639
50,Grupo Quirónsalud,https://www.quironsalud.com/es/grupo/quienes-somos,8,"IKERLAN | Centro tecnológico cooperativo (Corporación Mondragón) | Fundado en 1974 | Ingresos 33 M€ (2023) | 414 empleados (35 % doctores, 28 % mujeres) | Áreas: transporte y movilidad, energía, fabricación avanzada, electrónica y TIC, alimentación y bebidas, automoción, aeroespacial, salud y deporte | Plan estratégico IK2027 | Enfoque en transferencia de conocimiento, I+D con empresas y formación de talento","IKERLAN promueve una cultura cooperativa y colaborativa basada en la excelencia tecnológica, la cercanía con las empresas y la respuesta a los retos sociales. El trabajo en equipo, la transferencia de conocimiento, la formación continua y la actitud proactiva son pilares fundamentales. Fomenta la diversidad, la investigación de alto nivel y la innovación aplicada, buscando generar bienestar económico y social para su entorno.",6855
51,ITI,https://www.iti.es/sobre-iti/que-es-iti/,3,Acceso universal a la salud | Innovación tecnológica y AI‑driven | Ética y privacidad de datos,"MetaQare fomenta una cultura 100 % remota, colaborativa y multidisciplinaria, en la que médicos, ingenieros y expertos en blockchain trabajan con un propósito compartido: democratizar la atención médica mediante IA y blockchain, con un fuerte compromiso con la ética, la seguridad y el cumplimiento regulatorio.",6984
52,Siemens Rail Automation S.A.U,https://www.siemens.com/global/en/company/about.html,3,Fundada en enero de 2014 | Presente en 30 países con más de 360 centros | Más de 320 000 alumnos,"Logiscool fomenta una cultura de empoderamiento, creatividad y comunidad, basada en el aprendizaje práctico y gamificado de habilidades digitales, programación e IA. Prioriza la confianza, la colaboración y la innovación en niños, ofreciendo entornos seguros, apoyo continuo y metodologías centradas en el juego y la experimentación.",637
53,Ikerlan,https://www.ikerlan.es/somos-ikerlan,3,"Consultoría digital y servicios tecnológicos (ERP, CX, IA, desarrollo, ciberseguridad, finanzas) | 3.000 empleados (digital makers) | Presencia en más de 20 países y 5 continentes","VISEO promueve una cultura basada en la colaboración, la innovación tecnológica y la responsabilidad social; fomenta el desarrollo personal de sus empleados, la cercanía con clientes y socios, y busca generar impacto positivo y sostenible en la sociedad mediante soluciones digitales.",6352
54,Metaqare Intellihealth,https://metaqare.ai/company.php#about,3,Inkoova | Innovación tecnológica centrada en el cliente | Fundada por David Santacana Puig y Ricard Garau Escala,"Inkoova promueve una cultura basada en la colaboración, la calidad humana y el bienestar del equipo, fomentando la innovación, la excelencia y la orientación al cliente mientras elimina la burocracia típica de grandes organizaciones.",8909
55,Logiscool,https://www.logiscool.com/es/our-story,3,"Más de 50 años de trayectoria global | 13.000 empleados en 33 países | Presencia en España desde hace más de 20 años con 6 oficinas (Madrid, Barcelona, Valencia, Bilbao, Sevilla y Zaragoza)","Hays promueve una cultura positiva basada en valores como la orientación al cliente, la responsabilidad de resultados, la audacia y curiosidad, y el trabajo colaborativo. Fomenta la innovación, la integridad, la inclusión y el desarrollo profesional, buscando generar impacto positivo en clientes, candidatos y la comunidad.",8543
56,VISEO - Spain,https://iberia.viseo.com/quienes-somos/,3,"Fundada en 2019 | 21 startups lanzadas | Ticket medio €850,000","The Lab Ventures fomenta una cultura emprendedora y colaborativa, con un equipo multidisciplinario que combina experiencia en producto, ingeniería, finanzas y operaciones. Promueve la inclusión (47.5% de mujeres en staff y liderazgo) y apoya a los fundadores mediante mentoría, acceso a capital, redes internacionales y un enfoque centrado en el éxito sostenible de las startups.",7350
57,Inkoova,https://inkoova.com/empresa/,7,"Nombre: SDi Digital Group | Más de 10 años ayudando a empresas | ≈200 empleados de distintas disciplinas | Facturación anual aproximada: 20 M€ | Servicios clave: ERP, CRM, Cloud, Ciberseguridad, Desarrollo a medida, Business Intelligence | Oficinas: Logroño, Calahorra y Murcia | Alta satisfacción del cliente (>99%)","SDi fomenta una cultura basada en la pasión por la tecnología, la innovación constante y el trabajo en equipo. Busca el desarrollo profesional de sus empleados, promueve la superación y el compromiso social, y se orienta a crear un entorno colaborativo donde la mejora continua y la satisfacción del cliente son prioridades.",7465
58,HAYS,https://www.hays.es/acerca-de-hays,7,Innovación | Transformación digital | Desarrollo de talento IT | Compromiso con el cliente | Responsabilidad social | Colaboración | Excelencia,"Experis promueve una cultura basada en la innovación y la transformación digital, enfocada en el desarrollo continuo del talento TI, la colaboración interna y con sus clientes, y una fuerte responsabilidad social. Fomenta el aprendizaje a través de su academia, planes de carrera y un entorno que valora la excelencia y el compromiso con resultados eficientes.",10669
59,The Lab Ventures,https://www.thelabventures.com/,3,"Despacho legal especializado en asesoría fiscal e innovación tecnológica | Portafolio de servicios: familia y personal, laboral, bancario, penal, mercantil, fiscal, contable, mediación, IA legal y consultoría tecnológica | Contacto: 924 247 371 (central), 607 332 102 (móvil), email impulsoveritassolutionssl@gmail.com – respuesta en menos de 24 h","Impulso Veritas Solutions combina experiencia jurídica con tecnología de vanguardia, fomentando una cultura de innovación, eficiencia y confidencialidad. Su enfoque está centrado en simplificar procesos complejos, generar valor real para el cliente y garantizar resultados medibles y seguros.",10735
60,SDi Digital Group,https://www.sdi.es/empresa/,5,Talent Connect | Fundada en 2017 | Más de 100 empleados | Plataforma de IA para conectar talentos IT con empresas de primer nivel | Presencia en América Latina y EE. UU.,"La cultura de Talent Connect está centrada en la innovación tecnológica y la agilidad, utilizando IA para acelerar el proceso de reclutamiento y ofrecer experiencias personalizadas a los candidatos. Prioriza la seguridad de los datos, la transparencia y la toma de decisiones basada en la compatibilidad entre talento y oportunidades. Fomenta un ambiente colaborativo y remoto, con enfoque en resultados rápidos, inclusión y desarrollo continuo de sus profesionales.",13246
