course_id,name,category,language,skills,what_you_learn,url,content_length
10,Digestive Dynamics: Understanding the GI System,Health,English,"Physiology, Clinical Practices, Molecular, Cellular, and Microbiology, Anatomy, Biology, Pathology, Diagnostic Tests, Medical Terminology, Microbiology, Nutrition and Diet","Learners will explore the functions of key digestive organs and their role in metabolism
Learners will explore the functions of key digestive organs and their role in metabolism
Learners will understand how the body absorbs nutrients and eliminates waste
Learners will understand how the body absorbs nutrients and eliminates waste
Learners will apply digestive system knowledge to case studies, such as GERD and IBS
Learners will apply digestive system knowledge to case studies, such as GERD and IBS",https://www.coursera.org/learn/3d-gastrointestinal-anatomy-physiology-interactive-course,508
11,3D Lighting 101 with Nomad Sculpt,Arts And Humanities,English,"Computer Graphics, 3D Assets, Color Theory, Image Quality, 3D Modeling, Computer Graphic Techniques, Visualization (Computer Graphics)",,https://www.coursera.org/learn/3d-lighting-101-with-nomad-sculpt,1703
12,The Framework of Movement: Understanding Bones and Muscles,Health,English,"Chronic Diseases, Orthopedics, Medical Terminology, Exercise Science, Physical Therapy, Anatomy, Physiology, Diagnostic Tests, Kinesiology, Human Musculoskeletal System, Sports Medicine, Medical Imaging","Learners will understand the structure and function of bones, joints, and muscles
Learners will understand the structure and function of bones, joints, and muscles
Learners will explore the processes of bone growth, remodeling, and muscle contraction
Learners will explore the processes of bone growth, remodeling, and muscle contraction
Learners will apply musculoskeletal knowledge to case studies, such as fractures and arthritis
Learners will apply musculoskeletal knowledge to case studies, such as fractures and arthritis",https://www.coursera.org/learn/3d-musculoskeletal-anatomy-physiology-interactive-course,576
13,3D Printing Technology Deep Dive and Use Cases,Physical Science And Engineering,English,"Mechanical Engineering, 3D Modeling, Prototyping, Cost Estimation, Electronics, Research and Design, Computer-Aided Design, Industrial Design, Materials science, Manufacturing Processes","Students will investigate the working principles, applications, and limitations of various 3D printing technologies.
Students will investigate the working principles, applications, and limitations of various 3D printing technologies.",https://www.coursera.org/learn/3d-printing-technology-deep-dive-and-use-cases,316
14,Breath of Life: Exploring the Respiratory System,Health,English,"Patient Treatment, Pulmonary Function Testing, Pharmacotherapy, Physiology, Airway Management, Patient Evaluation, Capillary, Anatomy, Infectious Diseases, Oxygen Therapy, Diagnostic Tests, Medical Terminology, Immunology, Respiratory Care, Respiration, Pulmonology","Learners will examine the key structures of the respiratory system and their functions
Learners will examine the key structures of the respiratory system and their functions
Learners will understand how oxygen and carbon dioxide are exchanged in the lungs
Learners will understand how oxygen and carbon dioxide are exchanged in the lungs
Learners will apply respiratory knowledge to case studies, such as asthma and COPD
Learners will apply respiratory knowledge to case studies, such as asthma and COPD",https://www.coursera.org/learn/3d-respiratory-anatomy-physiology-interactive-course,537
15,Integrating Specialized Body Functions,Health,English,"Immunology, Pathology, Physiology, Neurology, Endocrinology, Health Assessment, Nephrology, Obstetrics And Gynecology, Gynecology, Anatomy, Urology","Learners will explore the structure and functions of the urinary, nervous, endocrine, reproductive, and integumentary systems.
Learners will explore the structure and functions of the urinary, nervous, endocrine, reproductive, and integumentary systems.
Learners will understand how these systems regulate essential physiological processes and maintain homeostasis.
Learners will understand how these systems regulate essential physiological processes and maintain homeostasis.",https://www.coursera.org/learn/3d-specialized-anatomy-physiology-systems-interactive-course,635
16,4G Network Fundamentals,Information Technology,English,"Network Protocols, Digital Communications, Telecommunications, Network Architecture, Network Security, Wireless Networks, Mobile Security, Dataflow, Computer Networking, Capacity Management, Network Infrastructure","Describe 4G networks’ functioning and architecture.
Describe 4G networks’ functioning and architecture.
Explain how telecommunications operators provide mobile users with a permanent IP address in a secure manner.
Explain how telecommunications operators provide mobile users with a permanent IP address in a secure manner.
Analyze the internal exchanges and protocols used in a 4G network: attachment, location updating, handover.
Analyze the internal exchanges and protocols used in a 4G network: attachment, location updating, handover.
Identify the transport and control functions in a 4G network.
Identify the transport and control functions in a 4G network.",https://www.coursera.org/learn/4g-network-fundamentals,1005
17,5G Network Fundamentals,Information Technology,English,"Network Planning And Design, Mobile Security, Software-Defined Networking, Infrastructure Security, Cloud Computing Architecture, Wireless Networks, Virtual Private Networks (VPN), Network Performance Management, Emerging Technologies, Network Security, Telecommunications, Service Oriented Architecture, Computer Networking, Network Protocols, Network Architecture, Encryption, Communication Systems","Characterize 5G modes (eMBB, uRLLC, mMTC) and list the main functional entities and their role (gNB, AMF, SMF, UPF, UDM, AUSF)
Characterize 5G modes (eMBB, uRLLC, mMTC) and list the main functional entities and their role (gNB, AMF, SMF, UPF, UDM, AUSF)
Justify how MIMO and massive MIMO are a technological breakthrough of mobile networks
Justify how MIMO and massive MIMO are a technological breakthrough of mobile networks
Explain the security weaknesses of 4G and justify how 5G enhances security
Explain the security weaknesses of 4G and justify how 5G enhances security
Describe the interactions between network functions (NF) from the specification of a simple service in a service-based architecture (SBA).
Describe the interactions between network functions (NF) from the specification of a simple service in a service-based architecture (SBA).",https://www.coursera.org/learn/5g-network-fundamentals,1072
18,5G for Everyone,Physical Science And Engineering,English,"Wireless Networks, Internet Of Things, Virtualization, Emerging Technologies, Business Transformation, Telecommunications, General Networking, Network Infrastructure","Gain an in-depth understanding of how 5G is revolutionizing the way we do business in the 2020s.
Gain an in-depth understanding of how 5G is revolutionizing the way we do business in the 2020s.
Learn about the technologies that make 5G possible, including mmWave, Massive MIMO, RAN, and more.
Learn about the technologies that make 5G possible, including mmWave, Massive MIMO, RAN, and more.
Learn how companies can take advantage of 5G Private Networks and Industrial IoT to transform the way they operate on a daily basis.
Learn how companies can take advantage of 5G Private Networks and Industrial IoT to transform the way they operate on a daily basis.
Gain the base-level knowledge of 5G you need to continue your wireless education and advance in the rapidly-growing field of wireless technology.
Gain the base-level knowledge of 5G you need to continue your wireless education and advance in the rapidly-growing field of wireless technology.",https://www.coursera.org/learn/5g-training-qualcomm,1170
19,"6G Deployment: Testbeds, Antenna Systems & Digital Twins",Physical Science And Engineering,English,"Distributed Computing, Information Technology, Development Testing, Interoperability, Network Architecture, Trustworthiness, Artificial Intelligence and Machine Learning (AI/ML), Machine Learning, Emerging Technologies, Software-Defined Networking, Network Planning And Design, Electrical Engineering, Internet Of Things, Communication Systems, Augmented and Virtual Reality (AR/VR), Electronics Engineering, Wireless Networks, Telecommunications, Digital Communications, Zero Trust Network Access","Master foundational 6G concepts, AI-driven networks, RIS technology, and optical wireless communications including LiFi systems.
Master foundational 6G concepts, AI-driven networks, RIS technology, and optical wireless communications including LiFi systems.",https://www.coursera.org/learn/6g-deployment-testbeds-antenna-systems-and-digital-twins,1395
20,"6G Evolution: Blockchain, Semantic Communications & Radar",Physical Science And Engineering,English,"Machine Learning, Trustworthiness, Electronics Engineering, Information Technology, Artificial Intelligence and Machine Learning (AI/ML), Internet Of Things, Artificial Intelligence, Electrical Engineering, Distributed Computing, Communication Systems, Emerging Technologies, Generative AI, Zero Trust Network Access, Health Technology, Network Architecture, Digital Communications, Software-Defined Networking, Deep Learning","Understand blockchain wireless systems, semantic communications, multimodal networks, and radar-enabled monitoring applications.
Understand blockchain wireless systems, semantic communications, multimodal networks, and radar-enabled monitoring applications.",https://www.coursera.org/learn/6g-evolution-blockchain-semantic-communications-and-radar,1322
21,"6G Vision: ML, Intelligent Surfaces & Optical Networks",Physical Science And Engineering,English,"Electrical Engineering, Machine Learning, Artificial Intelligence and Machine Learning (AI/ML), Zero Trust Network Access, Distributed Computing, Software-Defined Networking, Information Technology, Wireless Networks, Electronics Engineering, Network Planning And Design, Internet Of Things, Digital Communications, Trustworthiness, Emerging Technologies","Learn digital twin communications, antenna array design principles, 6G testbed concepts, and real-world deployment strategies.
Learn digital twin communications, antenna array design principles, 6G testbed concepts, and real-world deployment strategies.",https://www.coursera.org/learn/6g-vision-ml-intelligent-surfaces-and-optical-networks,1138
22,"8 Most Controversial Terms in AI, Explained",Personal Development,English,"Open Source Technology, Artificial Intelligence, Large Language Modeling, Machine Learning, Responsible AI, Generative AI",,https://www.coursera.org/learn/8-most-controversial-terms-in-ai-explained,941
23,Understanding 9/11: Why 9/11 Happened & How Terrorism Affects Our World Today,Social Sciences,English,"Security Strategy, Social Studies, World History, Political Sciences, Cultural Diversity, Intelligence Collection and Analysis, Policy Analysis, Public Safety and National Security, Policy Development, International Relations",,https://www.coursera.org/learn/911-attack,281
24,A Blueprint for Success – Your Video Pre-Production,Personal Development,English,"Video Production, Creativity, Editing, Storyboarding, Writing, Videography, Storytelling, Proposal Development, Video Editing","Identify equipment and software needs to create video that maintains high production value.
Identify equipment and software needs to create video that maintains high production value.
Develop ideas for a visual story in a written document called a program proposal.
Develop ideas for a visual story in a written document called a program proposal.
Compare narrative structures used to tell visual stories.
Compare narrative structures used to tell visual stories.
Conceive storyboards, write treatments and scripts.
Conceive storyboards, write treatments and scripts.",https://www.coursera.org/learn/a-blueprint-for-success-your-video-pre-production,455
25,A New Communication Framework for Healthcare,Health,English,"Verbal Communication Skills, Emotional Intelligence, Interpersonal Communications, Patient-centered Care, Communication, Self-Awareness, Compassion, Patient Communication, Cultural Diversity, Empathy, Active Listening","You will learn compassionate communication skills through the use of practices and theories rooted in the arts, humanities, theater and journalism.
You will learn compassionate communication skills through the use of practices and theories rooted in the arts, humanities, theater and journalism.",https://www.coursera.org/learn/a-new-communication-framework-for-healthcare,1208
26,A Public Health Approach to Hearing Loss and Aging,Health,English,"Health Care, Communication Disorders, Long Term Care, Medicare, Health Disparities, Health Policy, Disabilities, Public Health, Social Determinants Of Health, Epidemiology, Patient Education And Counseling, Patient-centered Care, Gerontology, Health Systems",,https://www.coursera.org/learn/a-public-health-approach-to-hearing-loss-and-aging,862
27,A starter’s guide to Open Science,Social Sciences,English,"Peer Review, Education and Training, Educational Materials, Scientific Methods, Data Sharing, Data Access, Research Methodologies, Experimentation, Metadata Management, Research Design, General Science and Research, Ethical Standards And Conduct, Science and Research, Interoperability, Data Store, Research",,https://www.coursera.org/learn/a-starters-guide-to-open-science,544
28,A Strategic Approach to Cybersecurity,Computer Science,English,"Infrastructure Security, Risk Management, Cyber Security Strategy, Cyber Security Assessment, Information Privacy, Security Management, Cyber Security Policies, Security Strategy, Vulnerability Assessments, Cyber Risk, Security Awareness, Cybersecurity, Cyber Governance, Threat Modeling",,https://www.coursera.org/learn/a-strategic-approach-to-cybersecurity,1879
29,A Technical Leader's Qualities and Effectiveness,Personal Development,English,"Stakeholder Management, Accountability, Visionary, Mentorship, Courage, Office Management, Professional Development, Collaboration, Leadership, Engineering Management, Growth Mindedness, Business Leadership, Negotiation, Positivity, Technical Management, Personal Development, Resilience, Team Leadership","Understand and apply the principles of establishing a vision for an organization.
Understand and apply the principles of establishing a vision for an organization.
Understand the value of collaboration in bringing a team together under one vision.
Understand the value of collaboration in bringing a team together under one vision.
Understand why stakeholders are important to any leader's actions and how to manage them.
Understand why stakeholders are important to any leader's actions and how to manage them.",https://www.coursera.org/learn/a-technical-leaders-qualities-and-effectiveness,1063
30,Learn SAP ABAP Fundamentals and Core Programming Concepts,Computer Science,English,"Data Entry, Debugging, Data Structures, User Interface (UI), Programming Principles, SAP Applications, Object Oriented Programming (OOP), User Interface (UI) Design, Development Environment, Business Reporting, Development Testing, Maintainability, Business Logic","Write structured ABAP programs using internal tables, subroutines, and object-oriented classes to solve enterprise-level tasks efficiently
Write structured ABAP programs using internal tables, subroutines, and object-oriented classes to solve enterprise-level tasks efficiently
Develop classical, interactive, and ALV reports using SAP GUI with Excel integration and ABAP 7.5 syntax for clean, maintainable output
Develop classical, interactive, and ALV reports using SAP GUI with Excel integration and ABAP 7.5 syntax for clean, maintainable output
Create SAP GUI screens, design SmartForms for business documents, and debug or optimize ABAP programs using SAP’s built-in tools
Create SAP GUI screens, design SmartForms for business documents, and debug or optimize ABAP programs using SAP’s built-in tools",https://www.coursera.org/learn/abap-fundamentals-and-core-programming,1725
31,The ABC of sustainability,Physical Science And Engineering,English,"Sustainability Reporting, Sustainable Business, Corporate Sustainability, Critical Thinking, Environment and Resource Management, Finance, Climate Change Adaptation, Stakeholder Engagement, Sustainable Development, Environmental Social And Corporate Governance (ESG), Social Justice, Economics, Climate Change Mitigation","Understanding sustainability, learning about the use of natural resources and forming opinions about social and environmental issues.
Understanding sustainability, learning about the use of natural resources and forming opinions about social and environmental issues.",https://www.coursera.org/learn/abc-sustainability,1085
32,Anatomy of the Abdomen and Pelvis; a journey from basis to clinic.,Health,English,"Urology, General Surgery, Visualization (Computer Graphics), Medical Imaging, Gynecology, Clinical Practices, Physiology, Pathology, Diagnostic Tests, Patient Evaluation, Medical Terminology, Anatomy","Recognize and recall the main structures in the abdomen, also from dissection images and CT/MRI imaging
Recognize and recall the main structures in the abdomen, also from dissection images and CT/MRI imaging
Describe the key microscopic characteristics of some tissues and know the 4 base layers in the Gi-tract
Describe the key microscopic characteristics of some tissues and know the 4 base layers in the Gi-tract
Describe main build, both macroscopic and microscopic, and functions of the gut associated organs like the pancreas, liver, gallbladder and spleen
Describe main build, both macroscopic and microscopic, and functions of the gut associated organs like the pancreas, liver, gallbladder and spleen
Describe the nervous pathways to and from the abdomen and pelvis including the enteric nervous system
Describe the nervous pathways to and from the abdomen and pelvis including the enteric nervous system",https://www.coursera.org/learn/abdomen-anatomy,1294
33,Introduction to Ableton Live,Arts And Humanities,English,"Editing, Music, Technical Support, Automation, Creativity, File Management","Navigate Ableton Live
Navigate Ableton Live
Program MIDI drums and instruments
Program MIDI drums and instruments
Record and edit audio, including working with preexisting audio loops
Record and edit audio, including working with preexisting audio loops
Create a piece of music using MIDI and audio within Ableton Live
Create a piece of music using MIDI and audio within Ableton Live",https://www.coursera.org/learn/ableton-live,1541
34,Aboriginal Worldviews and Education,Social Sciences,English,"Social Studies, Higher Education, Social Justice, Diversity Awareness, Education and Training, Research, Cultural Diversity, Social Sciences, Cultural Sensitivity",,https://www.coursera.org/learn/aboriginal-education,444
35,Academic Discussions in English,Language Learning,English,"Interpersonal Communications, Verbal Communication Skills, English Language, Discussion Facilitation, Constructive Feedback, Vocabulary, Critical Thinking, Collaboration, Active Listening, Public Speaking, Social Skills",,https://www.coursera.org/learn/academic-discussion-english,798
36,Academic Skills for University Success: Capstone,Social Sciences,English,"Problem Solving, Ethical Standards And Conduct, Creative Problem-Solving, Critical Thinking, Writing, Planning, Research, Verbal Communication Skills, Brainstorming, Research Methodologies, Complex Problem Solving",,https://www.coursera.org/learn/academic-skills-project,1265
37,Academic Success for English Learners,Language Learning,English,"Differentiated Instruction, Instructional Strategies, Learning Strategies, Lesson Planning, Language Learning, Special Education, Student Engagement, Teaching, Developmental Disabilities, Cultural Responsiveness, Individualized Education Programs (IEP)","Learn how to support academic success for English learners through sheltered instruction and other proven teaching methods.
Learn how to support academic success for English learners through sheltered instruction and other proven teaching methods.
Fill your teacher toolbox with pre-made lesson plans and practical strategies for working with English learners.
Fill your teacher toolbox with pre-made lesson plans and practical strategies for working with English learners.
Discover characteristics of special groups of English learners, the challenges they face, and how to help students overcome them.
Discover characteristics of special groups of English learners, the challenges they face, and how to help students overcome them.",https://www.coursera.org/learn/academic-success-for-english-learners,1586
38,Project: Writing a Research Paper,Language Learning,English,"Proofreading, Editing, Grammar, Peer Review, Writing, Style Guides",,https://www.coursera.org/learn/academic-writing-capstone,607
39,Academic Information Seeking,Personal Development,English,"Intellectual Property, Research, Data Collection, Document Management, Information Management, Record Keeping",,https://www.coursera.org/learn/academicinfoseek,2055
40,Accelerate Your Job Search with AI,Personal Development,English,"Generative AI, Planning, Google Gemini, Prompt Engineering, Professional Development, Communication, LLM Application, Interviewing Skills, Problem Solving","Uncover your skills and explore new career possibilities, with support from tools like Career Dreamer.
Uncover your skills and explore new career possibilities, with support from tools like Career Dreamer.
Keep your applications organized with Google Sheets.
Keep your applications organized with Google Sheets.
Build a stand out resume and a step-by-step job search plan—with help from Gemini.
Build a stand out resume and a step-by-step job search plan—with help from Gemini.
Prepare for interviews and practice responding to questions using NotebookLM and Gemini Live.
Prepare for interviews and practice responding to questions using NotebookLM and Gemini Live.",https://www.coursera.org/learn/accelerate-your-job-search-with-ai,921
41,Access Control Concepts,Information Technology,English,"Security Awareness, Data Access, Authorization (Computing), Authentications, Cyber Security Policies, Role-Based Access Control (RBAC), Security Controls, Identity and Access Management",,https://www.coursera.org/learn/access-control-concepts,1549
42,Access Control,Information Technology,English,"Multi-Factor Authentication, Data Access, User Provisioning, Authentications, Computer Security, Identity and Access Management, Role-Based Access Control (RBAC), Security Controls, Information Systems Security, Authorization (Computing)",,https://www.coursera.org/learn/access-controls,1072
43,An Introduction to Accessibility and Inclusive Design,Information Technology,English,"Advocacy, Education and Training, Microsoft Office, Law, Regulation, and Compliance, Web Content Accessibility Guidelines, Adaptive Equipment, Hypertext Markup Language (HTML), Disabilities, Visual Impairment Education, Instructional Design",,https://www.coursera.org/learn/accessibility,703
44,Accessibility to the Scenic Arts,Arts And Humanities,English,"Diversity Awareness, Web Content Accessibility Guidelines, Performing Arts, Disabilities, Law, Regulation, and Compliance, Media and Communications, Diversity Equity and Inclusion Initiatives, Planning, Communication Strategies, Cultural Diversity, Needs Assessment, Coordinating, Organizational Skills, Policy Development",,https://www.coursera.org/learn/accessibility-scenic-arts,1059
45,Accounting for Decision Making,Business,English,"Inventory Management, Revenue Management, General Accounting, Decision Making, Accounting, Inventory Control Systems, Ledgers (Accounting), Financial Statements, Financial Acumen","Prepare key financial statements, such as balance sheets and income statements.
Prepare key financial statements, such as balance sheets and income statements.
Gain an understanding of the steps and purpose of each step in the accounting cycle.
Gain an understanding of the steps and purpose of each step in the accounting cycle.
Explain how accounting relates to economic reality.
Explain how accounting relates to economic reality.",https://www.coursera.org/learn/accounting,1169
46,Accounting 1,Business,English,"Financial Statements, Profit and Loss (P&L) Management, Working Capital, Financial Reporting, Bookkeeping, Cash Flows, General Accounting, Accrual Accounting, Ledgers (Accounting), Income Statement, Financial Accounting, Accounts Payable and Receivable, Balance Sheet, Accounting, Financial Analysis","Master the mechanics of financial accounting.
Master the mechanics of financial accounting.
Understand the structure, functions, and interrelation of the basic financial statements (balance sheet, income statement, and cash flow statement).
Understand the structure, functions, and interrelation of the basic financial statements (balance sheet, income statement, and cash flow statement).
Be able to perform a structured fundamental analysis of the financial statements to assess a firm’s profitability, liquidity, and solvency.
Be able to perform a structured fundamental analysis of the financial statements to assess a firm’s profitability, liquidity, and solvency.
Be familiar with the accounting rules governing the recognition and measurement of key activities, events and transactions.
Be familiar with the accounting rules governing the recognition and measurement of key activities, events and transactions.",https://www.coursera.org/learn/accounting-1,1600
47,Accounting 2,Business,English,"Cash Flows, Financial Reporting, Corporate Finance, Revenue Recognition, Asset Management, Inventory Accounting, Balance Sheet, Financial Statements, Securities (Finance), Profit and Loss (P&L) Management, Mergers & Acquisitions, Equities, Financial Market, Depreciation, Tax, Accounting, Financial Accounting, Accounts Receivable","Master the mechanics of financial accounting.
Master the mechanics of financial accounting.
Understand the structure, functions, and interrelation of the basic financial statements (balance sheet, income statement, and cash flow statement).
Understand the structure, functions, and interrelation of the basic financial statements (balance sheet, income statement, and cash flow statement).
Be able to perform a structured fundamental analysis of the financial statements to assess a firm’s profitability, liquidity, and solvency.
Be able to perform a structured fundamental analysis of the financial statements to assess a firm’s profitability, liquidity, and solvency.
Be familiar with the accounting rules governing the recognition and measurement of key activities, events and transactions.
Be familiar with the accounting rules governing the recognition and measurement of key activities, events and transactions.",https://www.coursera.org/learn/accounting-2,1508
48,Accounting Analytics,Business,English,"Operational Analysis, Fraud detection, Analytics, Finance, Key Performance Indicators (KPIs), Financial Data, Business Analytics, Financial Forecasting, Accounting, Business Metrics, Predictive Analytics, Performance Analysis, Financial Analysis, Financial Statement Analysis, Return On Investment",,https://www.coursera.org/learn/accounting-analytics,1053
49,Assets in Accounting,Business,English,"Operating Expense, Capital Expenditure, Inventory Control, Income Statement, Balance Sheet, Property Accounting, Lease Contracts, Accounting, Financial Accounting, Accounting Records, Asset Management, Bookkeeping, Depreciation, Fixed Asset, Financial Statements, Inventory Accounting","Summarize the common types of assets a business may have.
Summarize the common types of assets a business may have.
Describe the importance of control over inventory.
Describe the importance of control over inventory.
Outline how depreciation expense is reported on an income statement.
Outline how depreciation expense is reported on an income statement.
Illustrate how transactions can be recorded in terms of the resulting change in the elements of the accounting equation.
Illustrate how transactions can be recorded in terms of the resulting change in the elements of the accounting equation.",https://www.coursera.org/learn/accounting-assets,1008
50,Achieving Health Equity in Healthcare,Health,English,"Health Disparities, Health Care, Community Health, Public Health, Social Justice, Health Care Procedure and Regulation, Social Determinants Of Health, Diversity Equity and Inclusion Initiatives, Health Systems, Continuous Quality Improvement (CQI), Health Policy, Cultural Diversity, Health Equity","The community health center model is an intervention to combat racial and ethnic healthcare disparities
The community health center model is an intervention to combat racial and ethnic healthcare disparities
The role of reparations as an intervention to combat racial and ethnic healthcare disparities
The role of reparations as an intervention to combat racial and ethnic healthcare disparities
How health systems implement quality improvement initiatives as an intervention to combat racial and ethnic healthcare disparities
How health systems implement quality improvement initiatives as an intervention to combat racial and ethnic healthcare disparities",https://www.coursera.org/learn/achieving-health-equity-in-healthcare,920
51,"Act on Climate: Steps to Individual, Community, and Political Action",Physical Science And Engineering,English,"Climate Change Mitigation, Climate Change Adaptation, Sustainable Design, Driving engagement, Sustainable Development","Identify individual, community, and political actions you can engage in to effectively address and respond to climate change.
Identify individual, community, and political actions you can engage in to effectively address and respond to climate change.
Describe how insights from the social sciences can be employed to create change at the individual, community, and political levels.
Describe how insights from the social sciences can be employed to create change at the individual, community, and political levels.
Feel empowered to continue to influence how you, your community, and political leaders address and respond to climate change.
Feel empowered to continue to influence how you, your community, and political leaders address and respond to climate change.",https://www.coursera.org/learn/act-on-climate,1316
52,Foundations for Active Learning in STEM Courses,Social Sciences,English,"Cooperation, Education Software and Technology, Technology Solutions, Learning Management Systems, Blended Learning, Student Engagement, Mathematics Education, Student-Centred Learning, Instructional Strategies, Classroom Management, Collaboration, Learning Theory, Teamwork, Pedagogy, Professional Development, Teaching, Interactive Learning, Problem Solving, Creative Problem-Solving, Drive Engagement","Active learning strategies.
Active learning strategies.
Innovative technology use for student engagement.
Innovative technology use for student engagement.",https://www.coursera.org/learn/active-learning-in-stem-courses,281
53,ART of the MOOC: Activism and Social Movements,Arts And Humanities,English,"Art History, Aesthetics, Performing Arts, Creativity, Discussion Facilitation, Advocacy, Liberal Arts, Student Engagement, Social Justice, Cultural Diversity, Community Organizing, Social Sciences, Media and Communications",,https://www.coursera.org/learn/activism-social-movements,1293
54,Activism in Sports and Culture,Arts And Humanities,English,"Social Justice, Social Studies, Sociology, Writing, Cultural Responsiveness, Journalism, Timelines, Media and Communications, Social Sciences",,https://www.coursera.org/learn/activism-sports-culture,1736
55,Activity Design with PhET Simulations for STEM Education,Social Sciences,English,"Experimentation, Mathematics Education, Teaching, Physics, Biology, Chemistry, Simulation and Simulation Software, Design Strategies, Graphing","Assess equity in an Activity Sheet.
Assess equity in an Activity Sheet.
Develop strategies for writing simulation-based Activity Sheets.
Develop strategies for writing simulation-based Activity Sheets.
Design a simulation-based Activity Sheet.
Design a simulation-based Activity Sheet.",https://www.coursera.org/learn/activity-design-with-phet-simulations-for-stem-education,1256
56,William Shakespeare's Romeo & Juliet: An Actor's Perspective,Arts And Humanities,English,"Performing Arts, Art History, Oral Expression, Storytelling","By successfully completing this course, you will be able to describe the plot of Romeo and Juliet and identify major characters and themes.
By successfully completing this course, you will be able to describe the plot of Romeo and Juliet and identify major characters and themes.
You will be able to analyze and interpret heightened text.
You will be able to analyze and interpret heightened text.
You will be able to describe multiple theatrical approaches to Shakespeare's plays.
You will be able to describe multiple theatrical approaches to Shakespeare's plays.",https://www.coursera.org/learn/actors-discuss-romeo-and-juliet,1239
